doy,Hemisphere,within_variation,sd,se,ci
195,Northern,0.863122452,0.851569402,0.001840836,0.003607993
195,Southern,0.956106853,0.827493158,0.003385853,0.006636285
196,Northern,0.872965098,0.844608392,0.00182817,0.003583167
196,Southern,0.9723677,0.806698169,0.003290344,0.006449086
197,Northern,0.893158398,0.827352901,0.001780205,0.003489157
197,Southern,1.000538466,0.792110642,0.00319306,0.006258406
198,Northern,0.897719787,0.82752054,0.001843428,0.003613074
198,Southern,1.008246149,0.798927855,0.003359332,0.00658431
199,Northern,0.871506056,0.852941142,0.001939439,0.003801255
199,Southern,0.983431642,0.832408751,0.003647444,0.007149025
200,Northern,0.859905542,0.842280119,0.001837162,0.003600792
200,Southern,0.961737686,0.818030077,0.003385844,0.006636271
201,Northern,0.863785383,0.841231168,0.001820131,0.00356741
201,Southern,0.957252454,0.822170822,0.003369864,0.006604946
202,Northern,0.870214484,0.839900456,0.001815378,0.003558096
202,Southern,0.960376887,0.818257372,0.003347783,0.006561667
203,Northern,0.876719891,0.834946437,0.001798013,0.003524061
203,Southern,0.97280936,0.816574118,0.003315328,0.006498053
204,Northern,0.892030142,0.826408255,0.001760209,0.003449965
204,Southern,0.997485301,0.804766943,0.003207643,0.006286986
205,Northern,0.903065756,0.82178987,0.001807485,0.003542627
205,Southern,1.011318907,0.800662022,0.003310217,0.00648804
206,Northern,0.872016831,0.847473711,0.001913784,0.003750971
206,Southern,0.979068531,0.831579981,0.003569736,0.00699671
207,Northern,0.863061232,0.845126625,0.001835078,0.003596707
207,Southern,0.955084677,0.831964239,0.003379038,0.006622926
208,Northern,0.866330695,0.840362232,0.00180713,0.00354193
208,Southern,0.95906804,0.816818083,0.00327791,0.006424711
209,Northern,0.866654997,0.835964887,0.001791431,0.003511159
209,Southern,0.963567307,0.814373893,0.003256584,0.006382911
210,Northern,0.872095698,0.837032573,0.0017895,0.003507374
210,Southern,0.972696563,0.806957761,0.00322417,0.00631938
211,Northern,0.890713668,0.82016678,0.001734274,0.003399133
211,Southern,0.995526411,0.791879806,0.003115682,0.006106738
212,Northern,0.898920779,0.820616685,0.001790967,0.003510251
212,Southern,1.013368668,0.787851956,0.003202783,0.006277464
213,Northern,0.869991383,0.848047166,0.001903049,0.003729931
213,Southern,0.976347624,0.826291529,0.003483982,0.006828626
214,Northern,0.861145548,0.845377189,0.001815691,0.003558709
214,Southern,0.949090988,0.824932448,0.003298173,0.006464426
215,Northern,0.859648693,0.842509524,0.001794215,0.003516616
215,Southern,0.955592325,0.815292634,0.003221821,0.006314773
216,Northern,0.860634739,0.838287795,0.001781439,0.003491576
216,Southern,0.95847082,0.822707555,0.003254275,0.006378383
217,Northern,0.871523665,0.834633378,0.001769626,0.003468422
217,Southern,0.971019644,0.816231354,0.00325489,0.00637959
218,Northern,0.883099477,0.821546836,0.001726026,0.003382968
218,Southern,0.987124045,0.795598053,0.003135704,0.006145983
219,Northern,0.897046819,0.823190607,0.001802242,0.00353235
219,Southern,1.009709538,0.791073813,0.00323073,0.006332243
220,Northern,0.872946399,0.841294907,0.001890727,0.003705779
220,Southern,0.973897571,0.832343216,0.00355271,0.006963338
221,Northern,0.858355151,0.840673727,0.001810553,0.003548638
221,Southern,0.957808753,0.821332176,0.003307095,0.006481914
222,Northern,0.857218162,0.839829541,0.001793812,0.003515825
222,Southern,0.951947183,0.816240394,0.00324863,0.006367319
223,Northern,0.85554417,0.843087224,0.001793713,0.003515633
223,Southern,0.962588897,0.806028488,0.003181934,0.006236593
224,Northern,0.865961803,0.833980349,0.001767721,0.003464688
224,Southern,0.972009798,0.800243087,0.003125091,0.00612518
225,Northern,0.879564851,0.818504883,0.001720216,0.00337158
225,Southern,0.991371727,0.783961778,0.003015193,0.005909776
226,Northern,0.889461858,0.820982435,0.001782534,0.003493723
226,Southern,1.010413207,0.779654537,0.003109032,0.006093708
227,Northern,0.864895145,0.842075157,0.001877701,0.003680249
227,Southern,0.982518179,0.810086489,0.003359909,0.006585437
228,Northern,0.857434586,0.834545261,0.001791728,0.003511742
228,Southern,0.961419435,0.812743724,0.003211097,0.006293753
229,Northern,0.85389227,0.836680528,0.001774737,0.003478439
229,Southern,0.962027388,0.807114959,0.003136586,0.006147708
230,Northern,0.85730766,0.835713184,0.001761091,0.003451693
230,Southern,0.964753738,0.804122477,0.003145402,0.006164989
231,Northern,0.862941926,0.834227438,0.001749743,0.003429451
231,Southern,0.965834643,0.806930987,0.003105281,0.006086348
